scenario,payment_id,customer_id,merchant_id,amount,currency,payment_method,processor,timestamp,device_type,country,error_code,past_attempts,true_root_cause,recoverable,best_action,eventual_outcome,amount_recovered,bank
s1_temporary_degradation,35fd933c-2cc2-4f40-89cb-c746f172a96f,d9dda547-2b85-452a-939d-5aab0531611f,merch_6,784.82,USD,card,stripe,2026-07-01 20:47:42.390596,unknown,ML,timeout_or_gateway_error,0,gateway_timeout,True,wait_and_retry,True,784.82,BankA
s3_hard_decline,e76f04bc-04f7-4813-b93d-8ee62a35295e,d49afd34-5591-43ac-b776-14d6c99d67c8,merch_89,9.54,USD,wallet,braintree,2025-12-16 01:24:26.525738,unknown,PK,lost_card,2,lost_card,False,stop_and_notify,False,0.0,
s6_repeated_recovery_failure,ceb7138a-767a-42b7-8186-2029ab8a5015,75d106f2-849c-40c6-9ffa-28aec353ac87,merch_58,21.78,USD,wallet,braintree,2025-10-19 21:41:01.075655,mobile,BF,generic_decline,3,chronic_failure,False,stop,False,0.0,
s4_high_value_uncertain,8e0b7991-3e3a-4808-b032-822a62c89efd,f785cd0d-685a-4e53-9d27-597885e381a2,merch_36,13450.16,USD,card,adyen,2026-05-01 15:59:15.221676,unknown,SE,generic_decline,0,risk_block_or_limit,False,manual_review,False,0.0,
s2_insufficient_funds,c5b504dd-4e28-45e9-b708-0b78bebf5e40,7ac6e470-2ada-4447-99a6-dd39a9ae7949,merch_88,120.21,USD,ach,braintree,2026-03-20 15:58:57.342056,mobile,MU,insufficient_funds,1,insufficient_funds,True,wait_for_paycheck,True,120.21,
s2_insufficient_funds,ba1f353a-f7af-4cf0-aac0-41bbf0a52b57,7bfc1083-aab5-4b24-b46a-78fa3e4ea589,merch_62,10.9,USD,wallet,braintree,2026-05-18 09:29:01.645380,desktop,BJ,insufficient_funds,1,insufficient_funds,True,wait_for_paycheck,True,10.9,
s1_temporary_degradation,bc9a7998-6365-4c2a-a793-cb096b271eff,fea82e3a-b544-41cb-9541-0a9d090aaa93,merch_50,43.94,USD,card,stripe,2025-12-07 15:49:43.399436,mobile,TO,timeout_or_gateway_error,0,gateway_timeout,True,wait_and_retry,True,43.94,BankA
s3_hard_decline,00e4e0b0-599b-4cae-93d0-25137a045c43,0a54e9c1-ce74-42ca-ab60-41f8dbee466a,merch_85,39.62,USD,ach,stripe,2025-12-12 01:11:35.248819,unknown,FI,fraud_suspected,3,fraud_suspected,False,stop_and_notify,False,0.0,
s2_insufficient_funds,f41d4011-0832-4b86-84f0-716bf78e5f10,2fd18781-396f-4701-b3fd-507c553afcaf,merch_86,75.18,USD,ach,stripe,2025-11-30 11:26:34.250398,desktop,CI,insufficient_funds,1,insufficient_funds,True,wait_for_paycheck,True,75.18,
s2_insufficient_funds,929ecc92-4a11-4e44-8aea-1b8fb43cde0a,83b0b35c-dba6-4df8-b3d0-4ffb44709848,merch_95,30.98,USD,card,braintree,2025-12-31 02:49:48.710972,unknown,GD,insufficient_funds,0,insufficient_funds,True,wait_for_paycheck,True,30.98,
s5_method_specific_issue,3556071b-11b9-41b1-913f-9d0fde550a06,7b03f61b-5705-433e-92f0-2148016d0426,merch_66,272.21,USD,ach,braintree,2026-06-22 20:20:17.992092,unknown,AU,R01_nsf,0,R01_nsf,True,wait_and_retry,True,272.21,
s6_repeated_recovery_failure,841b74fb-66af-4ed6-9c61-1ab2d8450d5b,c335e611-f0a9-4ba0-94c1-2a89cc5bdf58,merch_62,57.59,USD,ach,braintree,2025-12-23 16:51:47.101344,mobile,CI,generic_decline,4,chronic_failure,False,stop,False,0.0,
s1_temporary_degradation,b6f338fa-6a7d-4b29-8b37-0113d857fa2c,00533212-66ae-42c5-a958-90e7b71247c4,merch_21,7.85,USD,card,stripe,2026-01-18 01:41:44.518706,desktop,BZ,timeout_or_gateway_error,0,gateway_timeout,True,wait_and_retry,True,7.85,BankB
s2_insufficient_funds,c7c59195-ffc3-4f83-be21-55a2a1361c27,23b22e08-feb7-4bd2-8291-2c35287922f2,merch_37,128.24,USD,wallet,adyen,2026-07-05 09:10:04.809420,mobile,KW,insufficient_funds,0,insufficient_funds,False,manual_review,False,0.0,
s2_insufficient_funds,45a8e9ac-9a04-4d5b-9153-e6a03f34bdb6,c2ec5471-08ac-4766-95c9-30eabb3bd320,merch_45,51.05,USD,card,braintree,2026-06-14 08:36:33.926914,unknown,TW,insufficient_funds,0,insufficient_funds,True,wait_for_paycheck,True,51.05,
s3_hard_decline,52bdcd4d-344c-4663-ba7b-0a7f70e0997e,9f2c617f-e84c-491f-a6dd-4af136e36bc9,merch_69,11.37,USD,card,stripe,2025-11-06 06:52:39.744006,unknown,VN,fraud_suspected,3,fraud_suspected,False,stop_and_notify,False,0.0,
s6_repeated_recovery_failure,948f664a-9565-457b-a267-d32fddcbf4bc,78e36397-123b-41cf-9ee3-39fff1bdb598,merch_95,70.76,USD,card,stripe,2026-02-22 18:22:15.244330,unknown,FI,generic_decline,5,chronic_failure,False,stop,False,0.0,
s2_insufficient_funds,f8d4b8c4-34c5-43fc-bfd5-a1529a28474f,736a1751-93ed-4715-927a-2d4ec56e1f7c,merch_82,14.2,USD,wallet,braintree,2025-12-16 15:47:00.302375,desktop,MX,insufficient_funds,1,insufficient_funds,True,wait_for_paycheck,True,14.2,
s7_unknown_failure,194ec8c8-f52e-4faa-be7f-5fcefe7022c4,bc0d11c7-54dc-45f3-a48d-44755c722e60,merch_39,53.45,USD,wallet,braintree,2026-07-04 11:38:08.628300,desktop,GR,,0,unclassified,False,manual_review,False,0.0,
s7_unknown_failure,c8ea7f1c-c6c0-4dc3-ba6f-9982502bc33a,5d4f4215-d46b-40f2-9685-09745c2aef50,merch_96,55.88,USD,ach,stripe,2026-07-10 13:39:23.545505,unknown,SO,,0,unclassified,False,manual_review,False,0.0,
s5_method_specific_issue,b0867987-631a-4327-b1fb-6b7754bfd243,53e84f51-33a0-427c-afee-3ce52339a91b,merch_61,19.45,USD,ach,braintree,2026-03-20 03:44:41.493382,unknown,KE,R02_account_closed,0,R02_account_closed,False,stop,False,0.0,
s2_insufficient_funds,57549c43-ce96-4698-bc8b-7eb7037146f7,12049b0a-9e11-471c-a8ae-6b4bdec2c775,merch_41,100.08,USD,ach,braintree,2025-09-07 10:18:29.415606,desktop,DE,insufficient_funds,0,insufficient_funds,True,wait_for_paycheck,True,100.08,
s2_insufficient_funds,e2163ec3-715f-4a2e-9cbf-d53ec47cd413,70647540-74ca-4521-a3ef-54b770d230e3,merch_10,87.95,USD,ach,stripe,2025-09-16 05:46:48.433252,unknown,UG,insufficient_funds,0,insufficient_funds,True,wait_for_paycheck,True,87.95,
s2_insufficient_funds,84702ee3-3ed1-4f30-96ef-471c4a369218,3690950e-f71e-4252-b611-1f79621cd408,merch_4,156.69,USD,card,adyen,2025-12-05 11:25:44.925046,unknown,MT,insufficient_funds,0,insufficient_funds,True,wait_for_paycheck,True,156.69,
s2_insufficient_funds,90482468-5c46-476c-8aff-e132eeefdef0,cc981235-7858-4301-8ca0-47a9462b1275,merch_41,6.68,USD,wallet,adyen,2025-12-09 20:47:50.715584,mobile,MX,insufficient_funds,0,insufficient_funds,True,wait_for_paycheck,True,6.68,
s7_unknown_failure,de4dda34-ca3e-45b1-9ffc-974c6d667277,d7039f08-6530-454a-8e06-27fa95adb91b,merch_16,9.63,USD,ach,adyen,2026-07-28 18:33:14.164600,desktop,MR,,0,unclassified,False,manual_review,False,0.0,
s1_temporary_degradation,2cdc1cc0-3fa6-4025-a56e-5170bd1a2704,20451dbd-1835-489b-88f4-ca541584184b,merch_84,71.83,USD,card,stripe,2025-09-17 06:41:43.286220,unknown,ZA,timeout_or_gateway_error,0,gateway_timeout,True,wait_and_retry,True,71.83,BankA
s2_insufficient_funds,b902f4e6-8e97-450e-8b79-6616ac63bd84,59b5f891-ad2e-4105-aca6-50a3eec445f5,merch_45,165.06,USD,card,braintree,2026-06-16 15:28:05.195967,desktop,DJ,insufficient_funds,0,insufficient_funds,False,manual_review,False,0.0,
s5_method_specific_issue,16ecd847-3870-47a9-a6eb-5fb73b4636dc,7efc35a4-c625-4ab7-963b-e6fec2296d73,merch_23,25.56,USD,ach,braintree,2026-02-21 04:46:20.100612,unknown,BY,R01_nsf,0,R01_nsf,True,wait_and_retry,True,25.56,
s2_insufficient_funds,a5e6ae05-3a38-49c3-a40a-2db9c6acffa0,7b4bf1ad-ec68-42b4-a423-8fa3772b90d5,merch_42,38.31,USD,card,stripe,2025-11-13 12:09:52.705518,desktop,MM,insufficient_funds,0,insufficient_funds,True,wait_for_paycheck,True,38.31,
s6_repeated_recovery_failure,b91e3d6e-bd1a-4f4b-88ff-bd403b72c86d,e9c96c52-098c-40b3-afc9-909ed9af6e09,merch_33,67.64,USD,card,braintree,2026-04-30 03:39:15.828970,unknown,EC,generic_decline,4,chronic_failure,False,stop,False,0.0,
s5_method_specific_issue,b30408fa-90bf-447e-a935-72d3fb6333cb,c4e49929-1119-4b23-9a0f-7242eeb7591f,merch_90,37.13,USD,ach,stripe,2026-08-07 01:20:46.199532,mobile,IN,R01_nsf,0,R01_nsf,True,wait_and_retry,True,37.13,
s1_temporary_degradation,ab1579aa-a290-43ac-ad23-75a1747dedaf,147cc606-d7bf-4636-bbb1-8ac9d78f9cf5,merch_4,150.48,USD,card,stripe,2026-06-22 17:56:11.222473,unknown,DZ,timeout_or_gateway_error,0,gateway_timeout,True,wait_and_retry,True,150.48,BankA
s2_insufficient_funds,bb7fd088-ad4f-4cb6-ba44-96d225c0eac3,d7bdbc43-03a7-4479-8923-57a7c17dbbdb,merch_85,55.78,USD,ach,braintree,2026-08-19 06:39:52.285509,mobile,NL,insufficient_funds,0,insufficient_funds,True,wait_for_paycheck,True,55.78,
s1_temporary_degradation,3b962ef8-33ab-4ceb-9cf0-4f03002f7406,a38a54a9-777b-4cbb-a2b3-fe51cf39c8cf,merch_30,35.44,USD,card,stripe,2026-04-16 10:29:15.404943,desktop,MY,timeout_or_gateway_error,0,gateway_timeout,True,wait_and_retry,True,35.44,BankA
s3_hard_decline,c66ef0cd-d2ea-443c-9ef5-9cd3e078b2d6,a296884f-541e-42a4-bd82-e0dee3cc1771,merch_25,27.69,USD,ach,adyen,2026-03-27 19:42:08.352056,desktop,KN,do_not_honor,3,do_not_honor,False,stop_and_notify,False,0.0,
s2_insufficient_funds,ab9379ff-c84d-459f-87d8-787dbb090f76,0b7d80f9-5a09-44b4-acb9-aa939c1c9a5f,merch_98,210.27,USD,card,braintree,2026-06-22 00:46:38.387184,desktop,BE,insufficient_funds,1,insufficient_funds,True,wait_for_paycheck,True,210.27,
s2_insufficient_funds,5b6a8102-0428-4378-bf50-23f440ef3935,3dba6da8-5844-49fc-914b-9547c9dc72b8,merch_58,99.63,USD,card,stripe,2026-08-28 05:18:59.063052,desktop,ES,insufficient_funds,1,insufficient_funds,True,wait_for_paycheck,True,99.63,
s2_insufficient_funds,df5181bc-3f0c-4f7d-899b-d7825ea6c0a0,9e9d5a73-0f82-457a-82ca-2598a3bb9331,merch_32,36.75,USD,card,braintree,2026-08-20 16:45:25.784410,unknown,NI,insufficient_funds,1,insufficient_funds,True,wait_for_paycheck,True,36.75,
