scenario,payment_id,customer_id,merchant_id,amount,currency,payment_method,processor,timestamp,device_type,country,error_code,past_attempts,true_root_cause,recoverable,best_action,eventual_outcome,amount_recovered,bank
s2_insufficient_funds,cca894f1-8b5f-4d5e-a700-e2258c37c218,c9601d84-6eae-4002-addd-2e334c3b519e,merch_19,249.99,USD,card,braintree,2025-09-12 11:38:24.928764,mobile,RW,insufficient_funds,0,insufficient_funds,False,manual_review,False,0.0,
s2_insufficient_funds,1b0ae22e-ecc8-47a6-99a6-f80ef08ce6c2,c926a021-19da-4262-8790-3dc5900c0af7,merch_53,134.47,USD,card,stripe,2026-06-07 21:30:52.016994,unknown,JO,insufficient_funds,1,insufficient_funds,False,manual_review,False,0.0,
s2_insufficient_funds,882fdc64-7677-450f-a74d-fb859ecc4181,67ee87f2-7433-405a-a5b3-3e2e910813b5,merch_40,55.63,USD,ach,adyen,2026-07-31 18:59:09.883157,mobile,AZ,insufficient_funds,1,insufficient_funds,True,wait_for_paycheck,True,55.63,
s1_temporary_degradation,0d075df7-fb74-4a7b-8e51-3be9c1320040,63b6ec09-6fe0-42f1-8124-ac08a3c4d06f,merch_10,715.23,USD,card,stripe,2026-07-26 17:07:02.517586,desktop,LI,timeout_or_gateway_error,0,gateway_timeout,True,wait_and_retry,True,715.23,BankA
s3_hard_decline,8eec22a4-f966-49c2-9796-b7b190b7f26f,28815cd9-8821-4541-9cc1-fb5ec7d4a10f,merch_100,18.7,USD,wallet,braintree,2026-05-30 03:37:50.788391,unknown,SG,do_not_honor,1,do_not_honor,False,stop_and_notify,False,0.0,
s5_method_specific_issue,e2318ce6-45d6-4ecd-b030-d7f4d5d4999b,4b80afa6-fab1-4a12-ad57-37a0330062f1,merch_45,10.99,USD,ach,adyen,2026-02-02 02:38:02.076758,unknown,IL,R03_no_account,0,R03_no_account,False,stop,False,0.0,
s2_insufficient_funds,c32afc4a-b148-42a6-aa79-17e19be702ab,f6ae10e8-65da-4ed0-860a-61253f8c93d4,merch_65,9.83,USD,ach,stripe,2026-02-03 19:40:29.856782,unknown,LV,insufficient_funds,0,insufficient_funds,True,wait_for_paycheck,True,9.83,
s3_hard_decline,556dfaf1-3f66-4fc4-b497-3f6860079b3d,6acf9ffa-48c9-45c2-9d72-69102938ee5a,merch_23,143.39,USD,ach,adyen,2026-07-18 22:31:08.433545,desktop,BN,fraud_suspected,3,fraud_suspected,False,stop_and_notify,False,0.0,
s2_insufficient_funds,dead0e24-9689-46b0-be79-8e3218b28c2a,21243563-e2d8-4670-862a-de7ecfa9c86e,merch_45,199.28,USD,wallet,stripe,2026-03-30 14:31:53.749026,mobile,ET,insufficient_funds,1,insufficient_funds,False,manual_review,False,0.0,
s2_insufficient_funds,33b9041a-5209-41cf-ad3d-a93bdd1be142,53ccf6f2-fb68-460a-be8b-52971a0b090b,merch_49,46.56,USD,card,stripe,2026-06-18 00:59:07.672477,mobile,CO,insufficient_funds,0,insufficient_funds,True,wait_for_paycheck,True,46.56,
